timestamp_utc,elapsed_s,active_channel,active_power_W,ch1_power_W,ch2_power_W,ch1_pm_status,ch2_pm_status,command_status
2026-05-07T18:25:00.524+00:00,0.000003,1,5.023214034736e-03,5.023508000000e-03,2.018386000000e-09,312,264,0
2026-05-07T18:25:00.769+00:00,0.337120,1,5.023662932217e-03,5.023365000000e-03,2.011068000000e-09,312,264,0
2026-05-07T18:25:00.945+00:00,0.520434,1,5.023008212447e-03,5.022582000000e-03,2.011340000000e-09,312,264,0
2026-05-07T18:25:01.060+00:00,0.701705,1,5.023133009672e-03,5.023302000000e-03,2.014197000000e-09,312,264,0
2026-05-07T18:25:01.233+00:00,0.834131,1,5.023069214076e-03,5.022999000000e-03,2.021433000000e-09,312,264,0
2026-05-07T18:25:01.400+00:00,0.994948,1,5.023066885769e-03,5.022948000000e-03,2.022331000000e-09,312,264,0
2026-05-07T18:25:01.530+00:00,1.159255,1,5.022951867431e-03,5.023067000000e-03,2.022032000000e-09,312,264,0
2026-05-07T18:25:01.673+00:00,1.302456,1,5.023683886975e-03,5.023676000000e-03,2.023800000000e-09,312,264,0
2026-05-07T18:25:01.907+00:00,1.427409,1,5.023716017604e-03,5.023346000000e-03,2.027119000000e-09,312,264,0
2026-05-07T18:25:02.053+00:00,1.694393,1,5.023634992540e-03,5.023736000000e-03,2.023963000000e-09,312,264,0
2026-05-07T18:25:02.300+00:00,1.835274,1,5.023711826652e-03,5.023970000000e-03,2.021352000000e-09,312,264,0
2026-05-07T18:25:02.427+00:00,2.051535,1,5.024071782827e-03,5.024028000000e-03,2.021324000000e-09,312,264,0
2026-05-07T18:25:02.542+00:00,2.190262,1,5.023668985814e-03,5.023585000000e-03,2.022766000000e-09,312,264,0
2026-05-07T18:25:02.716+00:00,2.345703,1,5.023641977459e-03,5.023678000000e-03,2.023963000000e-09,312,264,0
2026-05-07T18:25:03.184+00:00,2.486714,1,5.023944191635e-03,5.023101000000e-03,2.018903000000e-09,312,264,0
2026-05-07T18:25:03.839+00:00,2.988829,1,5.023454781622e-03,5.023865000000e-03,2.012510000000e-09,312,264,0
2026-05-07T18:25:04.392+00:00,3.595803,1,5.023144185543e-03,5.023391000000e-03,2.012483000000e-09,312,264,0
2026-05-07T18:25:04.904+00:00,4.161422,1,5.022631026804e-03,5.023578000000e-03,2.000813000000e-09,312,264,0
2026-05-07T18:25:05.478+00:00,4.664259,1,5.023178178817e-03,5.022882000000e-03,1.984001000000e-09,312,264,0
2026-05-07T18:25:06.116+00:00,5.275397,1,5.023416131735e-03,5.023039000000e-03,1.984980000000e-09,312,264,0
2026-05-07T18:25:06.588+00:00,5.903243,1,5.023155827075e-03,5.023297000000e-03,1.974153000000e-09,312,264,0
2026-05-07T18:25:07.243+00:00,6.382397,1,5.023866891861e-03,5.022973000000e-03,1.982967000000e-09,312,264,0
2026-05-07T18:25:07.825+00:00,7.010476,1,5.023488774896e-03,5.023821000000e-03,2.010416000000e-09,312,264,0
2026-05-07T18:25:08.415+00:00,7.601714,1,5.023708101362e-03,5.023753000000e-03,2.035634000000e-09,312,264,0
2026-05-07T18:25:08.978+00:00,8.208585,1,5.024090874940e-03,5.023048000000e-03,2.059954000000e-09,312,264,0
2026-05-07T18:25:09.606+00:00,8.748701,1,5.023513920605e-03,5.023048000000e-03,2.051874000000e-09,312,264,0
2026-05-07T18:25:10.323+00:00,9.365918,1,5.023234989494e-03,5.023169000000e-03,2.049616000000e-09,312,264,0
2026-05-07T18:25:10.874+00:00,10.075869,1,5.023246165365e-03,5.022801000000e-03,2.053860000000e-09,312,264,0
2026-05-07T18:25:11.392+00:00,10.637681,1,5.023711826652e-03,5.023063000000e-03,2.051983000000e-09,312,264,0
2026-05-07T18:25:11.997+00:00,11.147683,1,5.023947916925e-03,5.023421000000e-03,2.067217000000e-09,312,264,0
2026-05-07T18:25:12.570+00:00,11.783911,1,5.023515783250e-03,5.023201000000e-03,2.043441000000e-09,312,264,0
2026-05-07T18:25:13.211+00:00,12.327012,1,5.022874101996e-03,5.023550000000e-03,2.066700000000e-09,312,264,0
2026-05-07T18:25:13.779+00:00,12.978310,1,5.023240111768e-03,5.023491000000e-03,2.079405000000e-09,312,264,0
2026-05-07T18:25:14.360+00:00,13.583873,1,5.023358855397e-03,5.023625000000e-03,2.039823000000e-09,312,264,0
2026-05-07T18:25:14.595+00:00,14.116315,1,5.023236852139e-03,5.023657000000e-03,2.020291000000e-09,312,264,0
2026-05-07T18:25:14.736+00:00,14.366640,1,5.023708101362e-03,5.023925000000e-03,2.011912000000e-09,312,264,0
2026-05-07T18:25:15.012+00:00,14.501847,1,5.023784004152e-03,5.023872000000e-03,2.001737000000e-09,312,264,0
